PPM,%Drag Reduction
0,0
0.18907563,0.691943396
0.378151261,1.170981132
0.693277311,1.703245283
1.071428571,2.448415094
1.449579832,3.140358491
1.764705882,3.672622641
2.205882353,4.417792452
2.710084034,5.216188681
3.151260504,5.695226414
3.655462185,6.38716981
4.474789916,7.504924531
5.105042017,8.303320753
5.483193277,8.675905661
6.239495798,9.527528303
6.995798319,10.11301886
7.878151261,10.85818868
8.886554622,11.81626415
9.705882353,12.3485283
10.58823529,12.88079245
11.59663866,13.57273585
12.60504202,14.15822641
13.61344538,14.53081132
14.87394958,15.11630189
15.88235294,15.54211321
17.58403361,16.18083019
19.28571429,16.71309434
20.67226891,17.13890566
21.8697479,17.56471698
23.1302521,17.88407547
24.57983193,18.20343396
26.09243697,18.57601886
27.28991597,18.73569811
28.61344538,19.10828302
30.12605042,19.32118868
32.20588235,19.64054717
33.34033613,19.90667925
34.53781513,20.01313207
35.86134454,20.17281132
37.62605042,20.38571698
39.3907563,20.65184906
41.78571429,20.86475472
43.67647059,21.07766038
45.31512605,21.34379245
46.70168067,21.34379245
48.08823529,21.55669811
49.3487395,21.60992453
50.86134454,21.82283019
52.12184874,21.82283019
54.13865546,21.92928302
55.77731092,22.03573585
57.16386555,22.19541509
58.36134454,22.24864151
59.49579832,22.30186793
59.93697479,22.35509434
