PPM,%Drag Reduction
0,0
0.251572327,0.586597354
0.691823899,1.439829867
1.006289308,1.973100189
1.257861635,2.399716446
1.761006289,3.25294896
2.201257862,3.892873346
2.51572327,4.426143668
2.955974843,5.066068053
3.522012579,5.599338376
4.025157233,6.345916823
4.465408805,6.985841207
5.220125786,7.732419663
6.037735849,8.532325139
6.729559748,9.278903595
7.358490566,9.758846884
8.113207547,10.50542533
9.119496855,11.09202268
10.06289308,11.7852741
10.94339623,12.42519849
11.76100629,12.90514178
12.45283019,13.278431
13.4591195,13.65172023
14.08805031,14.02500945
15.22012579,14.55827978
16.22641509,14.98489603
17.16981132,15.30485822
18.11320755,15.73147448
19.87421384,16.37139887
21.13207547,16.63803402
22.38993711,17.11797732
23.52201258,17.33128545
24.71698113,17.65124764
25.91194969,17.9178828
26.98113208,18.13119092
28.67924528,18.45115312
29.87421384,18.71778828
31.44654088,18.98442344
32.57861635,19.14440454
34.33962264,19.4110397
36.22641509,19.83765596
38.11320755,19.94431002
39.93710692,20.21094518
41.63522013,20.42425331
42.95597484,20.53090737
44.52830189,20.79754253
46.22641509,20.9041966
48.17610063,21.01085066
49.24528302,21.11750473
50.81761006,21.27748582
51.94968553,21.33081285
53.33333333,21.54412098
54.40251572,21.59744802
55.97484277,21.70410208
57.61006289,21.86408318
59.37106918,21.91741021
60,21.97073724
