PPM,%Drag Reduction
0,0
0.5,7.21665
1,12.3714
1.5,15.8079
2,19.2444
2.5,21.9936
3,23.3682
3.5,26.8047
4,28.1793
4.5,30.2412
5,31.6158
5.5,32.9904
6,33.6777
6.5,35.7396
7,36.4269
7.5,37.1142
8,37.8015
