PPM,%Drag Reduction
0,0
0.283018868,1.41391195
0.911949686,2.942465409
1.855345912,4.948691822
2.379454927,6.477245282
3.008385744,7.671427673
4.056603774,9.199981133
4.790356394,10.29862894
5.733752621,11.58834591
6.519916143,12.49592453
7.830188679,13.73787421
8.983228512,14.69322012
10.13626834,15.64856604
11.70859539,16.55614465
13.12368973,17.46372327
14.43396226,18.18023271
16.00628931,18.70567296
18.10272537,19.46994969
19.72746331,20.04315723
21.98113208,20.71189937
23.76310273,21.09403773
26.17400419,21.4761761
28.00838574,22.00161635
30.41928721,22.47928931
32.77777778,22.76589308
34.87421384,23.00472956
36.9706499,23.38686792
39.22431866,23.53016981
41.05870021,23.76900629
43.41719078,23.91230818
45.67085954,24.15114465
47.55765199,24.24667925
49.24528302,24.41864151
51.06918239,24.53328302
53.20754717,24.76256604
55.40880503,24.87720755
57.29559748,24.99184906
59.62264151,25.10649056
