PPM,%Drag Reduction
0,0
0.5,4.1238
1,8.2476
1.5,12.3714
2,15.8079
2.5,19.9317
3,21.3063
3.5,23.3682
4,24.7428
4.5,26.1174
5,27.492
5.5,28.8666
6,29.5539
6.5,30.9285
7,32.3031
7.5,33.6777
8,34.365
8.5,35.0523
9,35.39595
