PPM,%Drag Reduction
0,0
0.18907563,0.533270321
0.693277311,1.386502835
1.197478992,2.293062382
1.575630252,2.879659736
1.827731092,3.306275993
2.142857143,3.626238185
2.457983193,4.159508507
2.836134454,4.69277883
3.466386555,5.386030246
3.907563025,5.865973537
4.285714286,6.505897925
4.789915966,6.985841207
5.483193277,7.679092629
6.113445378,8.212362945
6.617647059,8.69230624
7.43697479,9.385557656
8.256302521,9.972155011
8.760504202,10.4520983
9.642857143,11.09202268
10.77731092,11.73194707
11.8487395,12.37187145
12.79411765,12.90514178
13.67647059,13.278431
14.49579832,13.75837429
15.75630252,14.29164461
16.57563025,14.71826087
17.71008403,15.09155009
18.84453782,15.57149339
21.30252101,16.21141777
22.68907563,16.63803402
23.88655462,16.95799622
24.89495798,17.22463138
25.84033613,17.49126654
26.8487395,17.70457467
28.04621849,17.9178828
29.24369748,18.18451796
30.44117647,18.45115312
31.70168067,18.71778828
33.21428571,18.93109641
34.78991597,19.19773157
35.86134454,19.30438563
36.8697479,19.4110397
37.87815126,19.57102079
38.94957983,19.67767486
40.08403361,19.89098299
41.15546218,20.05096408
42.66806723,20.15761815
44.18067227,20.21094518
45.75630252,20.47758034
47.45798319,20.69088847
49.09663866,20.79754253
50.73529412,20.95752363
52.37394958,21.06417769
53.7605042,21.17083176
55.46218487,21.38413989
57.03781513,21.43746691
58.55042017,21.59744802
60,21.70410208
