PPM,%Drag Reduction
0,0
0.5,5.84205
1,10.9968
1.5,14.4333
2,17.8698
2.5,21.3063
3,22.6809
3.5,25.4301
4,26.8047
4.5,28.8666
5,30.2412
5.5,31.6158
6,32.3031
6.5,33.6777
7,35.0523
7.5,35.7396
8,36.08325
8.5,36.77055
9,37.8015
