PPM,%Drag Reduction
0,0
0.5,8.2476
1,13.746
1.5,17.1825
2,20.619
2.5,23.3682
3,24.7428
3.5,28.1793
4,29.5539
4.5,31.6158
5,32.9904
5.5,34.365
6,35.0523
6.5,36.4269
7,37.8015
7.5,38.4888
8,39.1761
8.5,39.8634
