PPM,%Drag Reduction
0,0
0.440251572,0.638716981
0.628930818,0.958075472
1.006289308,1.383886793
1.132075472,1.809698114
1.446540881,2.235509434
1.761006289,2.767773585
2.13836478,3.459716981
2.641509434,3.938754717
3.144654088,4.630698114
3.647798742,5.109735848
4.27672956,5.854905662
5.031446541,6.653301889
5.534591195,7.292018864
6.037735849,7.717830192
6.79245283,8.356547173
7.358490566,8.888811321
7.924528302,9.261396229
8.616352201,9.84688679
9.496855346,10.43237736
10.31446541,11.01786793
11.13207547,11.60335849
12.32704403,12.13562264
13.52201258,12.77433962
14.46540881,13.20015094
15.66037736,13.73241509
16.28930818,13.99854717
17.2327044,14.37113207
18.30188679,14.90339623
19.55974843,15.22275472
21.69811321,15.96792453
22.7672956,16.23405661
23.52201258,16.44696227
24.59119497,16.71309434
25.91194969,17.03245283
26.79245283,17.24535849
28.30188679,17.51149057
29.3081761,17.72439623
30.12578616,17.88407547
31.50943396,18.20343396
32.70440252,18.36311321
34.71698113,18.73569811
35.59748428,18.78892453
37.10691824,19.05505661
38.74213836,19.37441509
39.68553459,19.42764151
40.75471698,19.58732075
42.45283019,19.80022641
43.58490566,19.90667925
45.40880503,20.11958491
46.79245283,20.17281132
48.30188679,20.4389434
50,20.65184906
51.63522013,20.75830189
52.95597484,20.8115283
54.33962264,20.86475472
55.72327044,21.07766038
57.73584906,21.18411321
58.6163522,21.29056604
59.87421384,21.39701886
