PPM,%Drag Reduction
0,0
0.5,3.4365
1,6.873
1.5,11.6841
2,15.1206
2.5,19.2444
3,20.619
3.5,22.6809
4,24.0555
4.5,24.7428
5,26.1174
5.5,28.1793
6,28.8666
6.5,30.2412
7,31.6158
7.5,32.9904
8,33.6777
8.5,34.365
9,35.0523
9.5,35.7396
